stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,location_accuracy,date_opened,date_opened_min,date_opened_max,date_precision,date_closed
n00143,"Node (40.299,-74.494)",40.299302,-74.49418,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00144,"Node (40.317,-74.624)",40.316708,-74.623705,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00145,"Node (40.215,-74.757)",40.21531,-74.756799,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00146,"Node (40.217,-74.622)",40.216809,-74.622102,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00147,"Node (40.146,-74.717)",40.146264,-74.716921,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00148,"Node (40.641,-74.240)",40.641007,-74.239702,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00149,"Node (40.599,-74.285)",40.598908,-74.285402,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00150,"Node (40.552,-74.346)",40.552209,-74.346002,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00151,"Node (40.538,-74.367)",40.538109,-74.367105,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00152,"Node (42.379,-83.057)",42.378678,-83.057103,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00153,"Node (42.415,-83.086)",42.414658,-83.086499,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00154,"Node (42.335,-83.100)",42.334847,-83.10043,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00155,"Node (42.326,-83.107)",42.325707,-83.106602,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00156,"Node (42.323,-83.064)",42.322854,-83.064313,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00157,"Node (42.327,-83.094)",42.327466,-83.094296,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00158,"Node (42.317,-83.160)",42.31749,-83.160443,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00159,"Node (42.313,-83.193)",42.31281,-83.192601,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00160,"Node (42.276,-83.397)",42.27591,-83.397008,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00161,"Node (42.245,-83.608)",42.245007,-83.607808,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00162,"Node (40.565,-75.998)",40.564858,-75.997514,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00163,"Node (40.381,-75.934)",40.380509,-75.933504,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00164,"Node (40.376,-75.933)",40.375508,-75.933001,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00165,"Node (40.339,-75.924)",40.339207,-75.924105,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00166,"Node (40.315,-75.909)",40.315407,-75.908602,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00167,"Node (40.270,-75.809)",40.270207,-75.809198,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00168,"Node (40.246,-75.657)",40.245713,-75.657229,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00169,"Node (40.102,-75.326)",40.102208,-75.326105,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00170,"Node (40.106,-75.338)",40.105507,-75.338098,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00171,"Node (40.111,-75.358)",40.110608,-75.357599,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00172,"Node (40.117,-75.472)",40.117299,-75.471643,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00173,"Node (40.078,-75.321)",40.078106,-75.320703,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00174,"Node (40.003,-75.164)",40.003006,-75.164301,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00175,"Node (40.007,-75.178)",40.007206,-75.1784,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00176,"Node (39.999,-75.159)",39.998909,-75.158502,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00177,"Node (40.006,-75.193)",40.006142,-75.192697,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00178,"Node (39.996,-75.156)",39.996308,-75.156404,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00179,"Node (39.953,-75.164)",39.953457,-75.163782,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00180,"Node (40.730,-76.088)",40.730092,-76.088015,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00181,"Node (40.682,-76.188)",40.681635,-76.18807,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00182,"Node (41.804,-83.814)",41.804329,-83.813931,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00183,"Node (41.892,-84.016)",41.891823,-84.01595,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00184,"Node (40.032,-75.025)",40.031807,-75.025003,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00185,"Node (40.195,-74.781)",40.195076,-74.781481,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00186,"Node (40.001,-75.097)",40.001107,-75.097101,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00187,"Node (40.208,-74.767)",40.207816,-74.766958,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00188,"Node (40.087,-75.358)",40.086506,-75.357698,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00189,"Node (40.030,-75.583)",40.029709,-75.5832,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00190,"Node (40.259,-76.875)",40.258606,-76.875201,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00191,"Node (40.192,-76.731)",40.192444,-76.731234,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00192,"Node (39.984,-75.828)",39.983609,-75.827501,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00193,"Node (40.172,-76.724)",40.172486,-76.724024,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00194,"Node (40.076,-76.348)",40.075509,-76.347506,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00195,"Node (40.057,-76.323)",40.056908,-76.323305,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00196,"Node (40.043,-76.248)",40.042881,-76.247668,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00197,"Node (40.005,-76.114)",40.005047,-76.113505,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00198,"Node (40.023,-76.494)",40.023308,-76.493502,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00199,"Node (41.712,-83.704)",41.711708,-83.704304,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00200,"Node (41.654,-83.609)",41.653508,-83.608502,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00201,"Node (41.642,-83.588)",41.641709,-83.588307,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00202,"Node (39.968,-76.726)",39.967808,-76.726,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00203,"Node (39.982,-76.670)",39.982308,-76.669604,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00204,"Node (41.632,-83.529)",41.632012,-83.529057,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00205,"Node (41.633,-83.534)",41.632607,-83.533902,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00206,"Node (41.628,-83.520)",41.627839,-83.520032,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00207,"Node (41.616,-83.504)",41.616208,-83.503705,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00208,"Node (41.611,-83.496)",41.611409,-83.496205,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00209,"Node (41.521,-83.151)",41.520913,-83.151265,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
